Energy,dN/dE (pC/MeV)
0,0.0
50,0.0
100,0.0
150,0.0
200,0.2094953173876312
250,0.674175509019484
300,0.5254781335026353
350,0.5262319450982829
400,0.5436553534014801
450,0.49065275229706523
500,0.5070258259598811
550,0.4166756114862589
600,0.3769022252571235
650,0.2902781979600924
700,0.26831762981579216
750,0.274909015569206
800,0.2917036521148958
850,0.2994739849136355
900,0.2800713746010123
950,0.26650991101295896
1000,0.23130941029296692
1050,0.2273688691081348
1100,0.23177741654429332
1150,0.24506736505524132
1200,0.22958386052662608
1250,0.23579655419881387
1300,0.2416341283565797
1350,0.2630981097151215
1400,0.2992632034721985
1450,0.2476967742229987
1500,0.2838618679800757
1550,0.26522378696351234
1600,0.2943151984486332
1650,0.3271077891427169
1700,0.3906458897521818
1750,0.3309911692586847
1800,0.4752335539709224
1850,0.38350432871094925
1900,0.42421015487593344
1950,0.33355269965716583
2000,0.08966428164725056
2050,0.04448560184363551
2100,0.013093457336726962
2150,0.006566377785785581
2200,0.005619647582720738
2250,0.002711578204249867
2300,0.002407910025908314
2350,0.001121785976461737
2400,0.0020970967139587247
2450,0.0014754700900595458
